drug_id|name|cas|smiles|logP ALOGPS|logP ChemAxon|solubility ALOGPS|pKa (strongest acidic)|pKa (strongest basic)|drugname|drug_type|approved|experimental|illicit|investigational|nutraceutical|withdrawn|collated_partner_id|collated_gene_name|collated_target_type|collated_inhibitor|collated_inducer
DB03294|1-Methyl-3-Oxo-1,3-Dihydro-Benzo[C]Isothiazole-5-Sulfonic Acid Amide||CN1SC(=O)C2=CC(=CC=C12)S(N)(=O)=O|0.66|0.78|3.96e+00 g/l|10.07|-5.2|b'1-Methyl-3-Oxo-1,3-Dihydro-Benzo[C]Isothiazole-5-Sulfonic Acid Amide'|small molecule|0|1|0|0|0|0|BE0000322|CA2|protein|0|0
DB03306|RU78300||COC1=CC=CC(C=O)=C1OP(O)(O)=O|-0.02|0.57|3.87e+00 g/l|1.59|-4.9|b'RU78300'|small molecule|0|1|0|0|0|0|BE0000838|SRC|protein|0|0
DB03307|4-[(6-Amino-4-Pyrimidinyl)Amino]Benzenesulfonamide||NC1=NC=NC(NC2=CC=C(C=C2)S(N)(=O)=O)=C1|-0.31|0.46|4.39e-01 g/l|10.75|6.38|b'4-[(6-Amino-4-Pyrimidinyl)Amino]Benzenesulfonamide'|small molecule|0|1|0|0|0|0|BE0001072|CDK2|protein|0|0
DB03309|N-cyclohexyltaurine|103-47-9|OS(=O)(=O)CCNC1CCCCC1|-1.1|-0.59|3.97e+00 g/l|-1.1|9.88|b'N-cyclohexyltaurine'|small molecule|0|1|0|0|0|0|BE0004484 ; BE0001264|EN2 ; SULT2B1|protein ; protein|0 ; 0|0 ; 0
DB03310|Glutathione disulfide|27025-41-8|N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O|-3.6|-10|4.06e-01 g/l|1.44|9.61|b'Glutathione disulfide'|small molecule|1|1|0|1|0|0|BE0001189 ; BE0000648|GSTM2 ; GSR|protein ; protein|0 ; 0|0 ; 0
DB03311|3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid [4-(Thiazol-2-Ylsulfamoyl)-Phenyl]-Amide||CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=C(O1)C=C(C=C2)S(=O)(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1|5.08|5.87|6.55e-03 g/l|5.1|0.59|b'3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid [4-(Thiazol-2-Ylsulfamoyl)-Phenyl]-Amide'|small molecule|0|1|0|0|0|0|BE0000623|PTPN1|protein|0|0
DB03314|5-fluorotryptophan|16626-02-1|N[C@@H](CC1=CNC2=C1C=C(F)C=C2)C(O)=O|-1|-0.94|1.21e+00 g/l|2.12|9.4|b'5-fluorotryptophan'|small molecule|0|1|0|0|0|0|BE0003844 ; BE0000807|TPI1 ; GSTM1|protein ; protein|0 ; 0|0 ; 0
DB03319|(2S)-2-Ammonio-3-[5-(2-methyl-2-propanyl)-3-oxido-1,2-oxazol-4-yl]propanoate||[H][C@](N)(CC1=C(ON=C1[O-])C(C)(C)C)C(O)=O|-1|-1.1|4.29e+00 g/l|1.98|8.89|b'(2S)-2-Ammonio-3-[5-(2-methyl-2-propanyl)-3-oxido-1,2-oxazol-4-yl]propanoate'|small molecule|0|1|0|0|0|0|BE0000829|GRIA2|protein|0|0
DB03323|Maltose|69-79-4|OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O|-3|-4.7|5.86e+02 g/l|11.25|-3|b'Maltose'|small molecule|0|1|0|1|0|0|BE0004457|AMY2B|protein|0|0
DB03329|2-Pyridinethiol|73018-10-7|SC1=NC=CC=C1|1.24|1.44|3.37e+00 g/l|7.64|0.5|b'2-Pyridinethiol'|small molecule|0|1|0|0|0|0|BE0000939|CTSB|protein|0|0
DB03330|S-(N-hydroxy-N-iodophenylcarbamoyl)glutathione||N[C@@H](CCC(=O)N[C@@H](CS[C@@H](O)N(O)C1=CC=C(I)C=C1)C(=O)NCC(O)=O)C(O)=O|-2|-1.9|1.63e-01 g/l|1.77|9.31|b'S-(N-hydroxy-N-iodophenylcarbamoyl)glutathione'|small molecule|0|1|0|0|0|0|BE0000962|GLO1|protein|0|0
DB03331|N-naphthalen-1-ylmethyl-2'-[3,5-dimethoxybenzamido]-2'-deoxy-adenosine||[H]N(CC1=CC=CC2=CC=CC=C12)C1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3N([H])C(=O)C3=CC(OC)=CC(OC)=C3)C2=NC=N1|2.62|2.18|1.82e-02 g/l|13.3|3.72|b""N-naphthalen-1-ylmethyl-2'-[3,5-dimethoxybenzamido]-2'-deoxy-adenosine""|small molecule|0|1|0|0|0|0|BE0000720|GAPDHS|protein|0|0
DB03332|5,6-Cyclic-Tetrahydropteridine||NC1=NC2=C(N3[C@@H](COC3=O)CN2)C(=O)N1|-1.6|-1.4|4.26e+00 g/l|11.08|4.19|b'5,6-Cyclic-Tetrahydropteridine'|small molecule|0|1|0|0|0|0|BE0000263|NOS3|protein|0|0
DB03333|(4-sulfamoyl-phenyl)-thiocarbamic acid O-(2-thiophen-3-yl-ethyl) ester||NS(=O)(=O)C1=CC=C(NC(=S)OCCC2=CSC=C2)C=C1|3.22|3.12|5.12e-03 g/l|10.16|-2.2|b'(4-sulfamoyl-phenyl)-thiocarbamic acid O-(2-thiophen-3-yl-ethyl) ester'|small molecule|0|1|0|0|0|0|BE0000322|CA2|protein|0|0
DB03336|BIA||OC1=CC(=CC(=C1O)[N+]([O-])=O)C(=O)CCN1CCN(CC1)C1=CC(=CC=C1)C(F)(F)F|3.7|2.46|4.34e-02 g/l|4.92|7.04|b'BIA'|small molecule|0|1|0|0|0|0|BE0002089|COMT|protein|0|0
DB03337|1-(2-Amidinophenyl)-3-(Phenoxyphenyl)Urea||NC(=N)C1=CC=C(NC(=O)NC2=CC=C(OC3=CC=CC=C3)C=C2)C=C1|3.16|2.93|2.10e-02 g/l|11.81|11.19|b'1-(2-Amidinophenyl)-3-(Phenoxyphenyl)Urea'|small molecule|0|1|0|0|0|0|BE0001739|PRSS1|protein|0|0
DB03338|Heptyl-Beta-D-Glucopyranoside||[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCCC)[C@]1([H])O|0.72|0.37|3.21e+01 g/l|12.21|-3|b'Heptyl-Beta-D-Glucopyranoside'|small molecule|0|1|0|0|0|0|BE0001007 ; BE0000695|PPARD ; FKBP1A|protein ; protein|0 ; 0|0 ; 0
DB03341|CoA-S-acetyl 5-bromotryptamine||[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSCC(=O)N([H])CCC4=CN([H])C5=C4C=C(Br)C=C5)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1|0.49|-4.1|2.04e+00 g/l|0.83|4.89|b'CoA-S-acetyl 5-bromotryptamine'|small molecule|0|1|0|0|0|0|BE0004584|AANAT|protein|0|0
DB03345|Mercaptoethanol|60-24-2|OCCS|0.11|-0.11|2.92e+01 g/l|9.97|-2.5|b'Mercaptoethanol'|small molecule|0|1|0|0|0|0|BE0000962 ; BE0000181 ; BE0000952 ; BE0004493 ; BE0004637|GLO1 ; PNPO ; SERPINA1 ; LGALS1 ; SCMH1|protein ; protein ; protein ; protein ; protein|0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0
DB03346|3,5,3',5'-Tetrachloro-Biphenyl-4,4'-Diol||OC1=C(Cl)C=C(C=C1Cl)C1=CC(Cl)=C(O)C(Cl)=C1|6.22|5.43|3.59e-03 g/l|6.11|-7.5|b""3,5,3',5'-Tetrachloro-Biphenyl-4,4'-Diol""|small molecule|0|1|0|0|0|0|BE0000951|SULT1E1|protein|0|0
DB03349|8-Bromo-Adenosine-5'-Monophosphate||[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C(Br)=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O|-2.5|-3.7|3.26e+00 g/l|1.22|4|b""8-Bromo-Adenosine-5'-Monophosphate""|small molecule|0|1|0|0|0|0|BE0000487 ; BE0001473|PDE4B ; HINT1|protein ; protein|0 ; 0|0 ; 0
DB03351|Sri-9439||CC1=C(CNC2=CC=CC3=NC=CC=C23)C=NC2=NC(N)=NC(N)=C12|2.09|2.02|2.67e-02 g/l|16.06|5.14|b'Sri-9439'|small molecule|0|1|0|0|0|0|BE0000330|DHFR|protein|0|0
DB03354|2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole||[H][C@]1(CO)O[C@@]([H])(C2=NN=C(C)O2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O|-1.6|-3.5|4.87e+01 g/l|12.4|-1.7|b'2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole'|small molecule|0|1|0|0|0|0|BE0000916|PYGM|protein|0|0
DB03359|M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene||C[N+](C)(C)C1=CC=CC(=C1)C(O)(O)C(F)(F)F|-0.62|-1.9|8.72e-03 g/l|7.53|-5.9|b'M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene'|small molecule|0|1|0|0|0|0|BE0000426|ACHE|protein|0|0
DB03365|4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline||COC1=CC2=NC=NC(NC3=CC(O)=CC=C3)=C2C=C1OC|3.1|2.84|1.33e-01 g/l|9.67|4.62|b'4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline'|small molecule|0|1|0|0|0|0|BE0001072|CDK2|protein|0|0
DB03366|Imidazole|288-32-4|N1C=CN=C1|-0.21|-0.15|5.38e+02 g/l|13.4|6.97|b'Imidazole'|small molecule|0|1|0|1|0|0|BE0004467 ; BE0000005 ; BE0004477 ; BE0001277 ; BE0004532 ; BE0004447 ; BE0001680 ; BE0002652 ; BE0001009|MB ; NOS2 ; AK2 ; PIM1 ; MYO1E ; DMC1 ; LTA4H ; GPHN ; CYCS|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB03367|PF-00356231|766536-21-4|[H][C@](CC(O)=O)(NC(=O)C1=CC(=CS1)C1=CC=C(C=C1)C1=CC=NC=C1)C1=CC=CC=C1|4.44|3.76|4.88e-04 g/l|4.46|5.19|b'PF-00356231'|small molecule|0|1|0|0|0|0|BE0001198|MMP12|protein|0|0
DB03368|5-Methyl-5-(4-Phenoxy-Phenyl)-Pyrimidine-2,4,6-Trione||CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1|2.75|2.46|1.39e-02 g/l|8.14|-8.7|b'5-Methyl-5-(4-Phenoxy-Phenyl)-Pyrimidine-2,4,6-Trione'|small molecule|0|1|0|0|0|0|BE0001116|MMP3|protein|0|0
DB03370|FR239087||[H][C@@](C)(O)[C@@]([H])(CCC1=CC=CC(Cl)=C1Cl)N1C=NC(=C1)C(N)=O|2.63|2.77|3.77e-02 g/l|13.88|3.53|b'FR239087'|small molecule|0|1|0|0|0|0|BE0002214|ADA|protein|0|0
DB03372|3-Mercapto-1-(1,3,4,9-Tetrahydro-B-Carbolin-2-Yl)-Propan-1-One||SCCC(=O)N1CCC2=C(C1)NC1=C2C=CC=C1|2.56|1.87|1.40e-02 g/l|10.12|-1.2|b'3-Mercapto-1-(1,3,4,9-Tetrahydro-B-Carbolin-2-Yl)-Propan-1-One'|small molecule|0|1|0|0|0|0|BE0001029|IL2|protein|0|0
DB03374|3,5-Diiodotyrosine|300-39-0|[H][C@](N)(CC1=CC(I)=C(O)C(I)=C1)C(O)=O|-0.7|0.37|5.19e-01 g/l|0.48|9.45|b'3,5-Diiodotyrosine'|small molecule|0|1|0|0|0|0|BE0003762 ; BE0003761 ; BE0001739 ; BE0004373|PKIA ; PRKACA ; PRSS1 ; IYD|protein ; protein ; protein ; protein|0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0
DB03380|L-tyrosinamide|4985-46-0|[H][C@](N)(CC1=CC=C(O)C=C1)C(N)=O|-0.65|-0.19|2.98e+00 g/l|9.52|8.03|b'L-tyrosinamide'|small molecule|0|1|0|0|0|0|BE0003476 ; BE0004370|NPY ; BPHL|protein ; protein|0 ; 0|0 ; 0
DB03381|Hexadecanal|629-80-1|CCCCCCCCCCCCCCCC=O|7.18|6.1|5.88e-05 g/l|15.56|-6.9|b'Hexadecanal'|small molecule|0|1|0|0|0|0|BE0001200 ; BE0004476|RHO ; DBI|protein ; protein|0 ; 0|0 ; 0
DB03382|S-oxy-L-cysteine||[H][C@](N)(CS=O)C(O)=O|-3|-4.3|4.70e+02 g/l|1.4|8.82|b'S-oxy-L-cysteine'|small molecule|0|1|0|0|0|0|BE0002148 ; BE0002390|PREP ; SOD1|protein ; protein|0 ; 0|0 ; 0
DB03383|5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide||[H][C@@](CC1=CC=C(F)C=C1)(NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2)C(=O)N1CCC(O)CC1|2.97|2.47|2.23e-02 g/l|12.24|-2|b'5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide'|small molecule|0|1|0|0|0|0|BE0000916|PYGM|protein|0|0
DB03384|Fica||FC1=CC2=C(NC(=C2)C(=O)NCCS)C=C1|2.22|1.61|2.62e-02 g/l|10.07|-1.5|b'Fica'|small molecule|0|1|0|0|0|0|BE0001826|CASP7|protein|0|0
DB03385|4-Methylimidazole||CC1=CN=CN1|0.1|0.054|5.78e+02 g/l|13.78|7.49|b'4-Methylimidazole'|small molecule|0|1|0|0|0|0|BE0000322 ; BE0004467 ; BE0003626|CA2 ; MB ; CA5A|protein ; protein ; protein|0 ; 0 ; 0|0 ; 0 ; 0
DB03389|alpha-D-Xylopyranose||O[C@@H]1CO[C@H](O)[C@H](O)[C@H]1O|-2.6|-2.3|1.22e+03 g/l|11.31|-3.5|b'alpha-D-Xylopyranose'|small molecule|0|1|0|0|0|0|BE0004338|LCT|protein|0|0
DB03392|(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester||[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(NP(=O)(OC)OC)[C@]1([H])O|-2.3|-3|3.26e+01 g/l|12.33|-3|b'(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester'|small molecule|0|1|0|0|0|0|BE0000916|PYGM|protein|0|0
DB03393|Sanglifehrin A||[H][C@@]12CCCN(N1)C(=O)[C@H](CC1=CC(O)=CC=C1)NC(=O)[C@@H](NC(=O)[C@H](CCC(C)=O)[C@H](O)[C@@H](C)[C@@H](O)\C=C\C=C\C[C@H](OC2=O)C(\C)=C\C=C\CC[C@H](C)[C@@H](O)C[C@@H]1O[C@@]2(NC(=O)[C@@H](CC)C[C@@H]2C)[C@@H](C)[C@@H](O)[C@H]1C)C(C)C|4.52|5.75|1.14e-02 g/l|9.45|0.82|b'Sanglifehrin A'|small molecule|0|1|0|0|0|0|BE0001014|PPIA|protein|0|0
DB03394|Heptaethylene glycol|5617-32-3|OCCOCCOCCOCCOCCOCCOCCO|-0.65|-1.5|1.55e+00 g/l|14.82|-2.7|b'Heptaethylene glycol'|small molecule|0|1|0|0|0|0|BE0003074|CBR1|protein|0|0
DB03395|Enalkiren|113082-98-7|COC1=CC=C(C[C@H](NC(=O)CC(C)(C)N)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)C=C1|2.47|1.75|1.22e-02 g/l|12.03|9.58|b'Enalkiren'|small molecule|0|1|0|0|0|0|BE0000270|REN|protein|1|0
DB03396|(2R,3R,4S,5R,6E)-3,4,5-Trihydroxy-N-[(3S,6R)-6-hydroxy-2-oxo-3-azepanyl]-2-methoxy-8,8-dimethyl-6-nonenamide||[H]N([C@H]1CC[C@@H](O)CN([H])C1=O)C(=O)[C@H](OC)[C@H](O)[C@@H](O)[C@H](O)\C=C\C(C)(C)C|-0.69|-1.6|1.09e+01 g/l|12.15|-2.9|b'(2R,3R,4S,5R,6E)-3,4,5-Trihydroxy-N-[(3S,6R)-6-hydroxy-2-oxo-3-azepanyl]-2-methoxy-8,8-dimethyl-6-nonenamide'|small molecule|0|1|0|0|0|0|BE0001534|METAP2|protein|0|0
DB03397|Uridine-Diphosphate-N-Acetylglucosamine||CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O|-1.4|-5.3|1.14e+01 g/l|1.74|-3.5|b'Uridine-Diphosphate-N-Acetylglucosamine'|small molecule|0|1|0|0|0|0|BE0001429 ; BE0001521 ; BE0004629 ; BE0004519|UAP1 ; GALE ; EXTL2 ; MGAT1|protein ; protein ; protein ; protein|0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0
DB03401|1D-myo-inositol 1,4,5-trisphosphate|85166-31-0|O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O|-0.86|-4.2|1.48e+01 g/l|0.54|-3.7|b'1D-myo-inositol 1,4,5-trisphosphate'|small molecule|0|1|0|0|0|0|BE0002654 ; BE0004452 ; BE0004490 ; BE0004516 ; BE0004593 ; BE0004522 ; BE0001627|CYTH2 ; EPN1 ; PLCD1 ; RDX ; SPTBN1 ; ITPR1 ; ITPKA|protein ; protein ; protein ; protein ; protein ; protein ; protein|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB03403|Cytidine-5'-Monophosphate|63-37-6|NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O|-2|-3.3|1.63e+01 g/l|1.23|-0.62|b""Cytidine-5'-Monophosphate""|small molecule|0|1|0|0|0|0|BE0000637 ; BE0001480|CMPK1 ; UCK2|protein ; protein|0 ; 0|0 ; 0
DB03405|N2-[(Benzyloxy)carbonyl]-N-[(3R)-1-{N-[(benzyloxy)carbonyl]-L-leucyl}-4-oxo-3-pyrrolidinyl]-L-leucinamide||[H]N([C@@H](CC(C)C)C(=O)N([H])[C@@H]1CN(CC1=O)C(=O)[C@H](CC(C)C)N([H])C(=O)OCC1=CC=CC=C1)C(=O)OCC1=CC=CC=C1|2.89|4.28|4.50e-03 g/l|12.3|-3.4|b'N2-[(Benzyloxy)carbonyl]-N-[(3R)-1-{N-[(benzyloxy)carbonyl]-L-leucyl}-4-oxo-3-pyrrolidinyl]-L-leucinamide'|small molecule|0|1|0|0|0|0|BE0003417|CTSK|protein|0|0
DB03408|gamma-Glutamylcysteine|636-58-8|N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O|-2.5|-3.8|2.62e+00 g/l|1.91|9.24|b'gamma-Glutamylcysteine'|small molecule|0|1|0|0|0|0|BE0000185|GSS|protein|0|0
DB03410|4-hydroxycoumarin|1076-38-6|OC1=CC(=O)OC2=CC=CC=C12|1.01|1.03|2.78e+00 g/l|5.3|-7|b'4-hydroxycoumarin'|small molecule|0|1|0|0|0|0|BE0002638|CYP3A4|enzyme|0|0
DB03413|Deoxyuridine-5'-Diphosphate||O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O|-0.99|-2.1|8.03e+00 g/l|1.77|-3.2|b""Deoxyuridine-5'-Diphosphate""|small molecule|0|1|0|0|0|0|BE0001205|DUT|protein|0|0
DB03414|5-Thio-a/B-D-Mannopyranosylamine||[H][C@]1(N)S[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]1([H])O|-2.5|-2.7|2.35e+02 g/l|12.77|7.1|b'5-Thio-a/B-D-Mannopyranosylamine'|small molecule|0|1|0|0|0|0|BE0003505|MAN2A1|protein|0|0
DB03415|3-Thiaoctanoyl-Coenzyme A||[H][C@](O)(C(O)=NCCC(O)=NCCSC(=O)CSCCCCC)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP(O)(O)=O|0.55|-2|5.20e+00 g/l|0.82|4.79|b'3-Thiaoctanoyl-Coenzyme A'|small molecule|0|1|0|0|0|0|BE0001745|ACADM|protein|0|0
DB03417|1-(4-Tert-Butylcarbamoyl-Piperazine-1-Carbonyl)-3-(3-Guanidino-Propyl)-4-Oxo-Azetidine-2-Carboxylic Acid||[H][C@](CCCNC(N)=N)(C=O)[C@]([H])(N=C(O)N1CCN(CC1)C(O)=NC(C)(C)C)C(O)=O|-0.3|-1.7|1.05e-01 g/l|2.48|12.05|b'1-(4-Tert-Butylcarbamoyl-Piperazine-1-Carbonyl)-3-(3-Guanidino-Propyl)-4-Oxo-Azetidine-2-Carboxylic Acid'|small molecule|0|1|0|0|0|0|BE0001739|PRSS1|protein|0|0
DB03419|Uracil|66-22-8|O=C1NC=CC(=O)N1|-1.2|-0.86|2.65e+01 g/l|9.77|-5.5|b'Uracil'|small molecule|0|1|0|1|0|0|BE0000960 ; BE0004582|DPYD ; UCKL1|protein ; protein|0 ; 0|0 ; 0
DB03424|Ubenimex|58970-76-6|CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(O)=O|-1.2|-1.1|1.29e+00 g/l|3.73|8.35|b'Ubenimex'|small molecule|0|0|0|1|0|0|BE0001680 ; BE0001018 ; BE0001134|LTA4H ; SLC15A1 ; SLC15A2|protein ; transporter ; transporter|0 ; 1 ; 1|0 ; 0 ; 0
DB03425|2s,4r-4-Methylglutamate||[H][C@@](C)(C[C@]([H])(N)C(O)=O)C([O-])=O|-2.8|-2.7|2.67e+02 g/l|2.01|9.53|b'2s,4r-4-Methylglutamate'|small molecule|0|1|0|0|0|0|BE0000826|GRIK2|protein|0|0
DB03428|SU9516||COC1=CC=C2NC(=O)\C(=C/C3=CN=CN3)C2=C1|1.64|0.91|3.23e-01 g/l|11.59|6.64|b'SU9516'|small molecule|0|1|0|0|0|0|BE0000890 ; BE0001082 ; BE0001072|CDK5 ; CDK1 ; CDK2|protein ; protein ; protein|1 ; 0 ; 1|0 ; 0 ; 0
DB03429|Tetrastearoyl cardiolipin||CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC(O)COP(O)(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC|8.97|27.27|6.62e-05 g/l|1.59|-3.4|b'Tetrastearoyl cardiolipin'|small molecule|0|1|0|0|0|0|BE0000599|SLC25A4|protein|0|0
DB03430|(2s)-Hydroxy(4-Hydroxyphenyl)Ethanenitrile||O[C@H](C#N)C1=CC=C(O)C=C1|0.73|0.65|8.37e+00 g/l|9.46|-4.2|b'(2s)-Hydroxy(4-Hydroxyphenyl)Ethanenitrile'|small molecule|0|1|0|0|0|0|BE0004111|LCTL|protein|0|0
DB03434|3[N-Morpholino]Propane Sulfonic Acid||OS(=O)(=O)CCCN1CCOCC1|-1.6|-2.4|3.72e+01 g/l|-0.96|6.88|b'3[N-Morpholino]Propane Sulfonic Acid'|small molecule|0|1|0|0|0|0|BE0001926|GNLY|protein|0|0
DB03435|Uridine-5'-Diphosphate|58-98-0|O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O|-0.94|-3|8.89e+00 g/l|1.77|-3.7|b""Uridine-5'-Diphosphate""|small molecule|0|1|0|0|0|0|BE0004629 ; BE0004501 ; BE0000637 ; BE0001872 ; BE0000214 ; BE0001242 ; BE0004498|EXTL2 ; GLT6D1 ; CMPK1 ; B3GAT3 ; ABO ; B3GAT1 ; GYG1|protein ; protein ; protein ; protein ; protein ; protein ; protein|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB03439|4,6-dideoxy-4-amino-alpha-D-glucose||[H][C@]1(C)O[C@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N|-2.1|-2|7.22e+02 g/l|11.32|8.56|b'4,6-dideoxy-4-amino-alpha-D-glucose'|small molecule|0|1|0|0|0|0|BE0001671 ; BE0002639 ; BE0002639|AMY1A ; AMY2A ; AMY2A|protein ; protein ; enzyme|0 ; 0 ; 0|0 ; 0 ; 0
DB03442|Acid yellow 54 free acid|68957-71-1|CC1=NN(C(O)=C1\N=N\C1=CC(=CC=C1C(O)=O)S(O)(=O)=O)C1=C(C)C=C(C=C1)S(O)(=O)=O|-0.35|-1.9|1.56e-01 g/l|-2.8|1.48|b'Acid yellow 54 free acid'|small molecule|0|1|0|0|0|0|BE0001240|ATIC|protein|0|0
DB03443|Bis(5-Amidino-Benzimidazolyl)Methanone Zinc||NC(N)C1=CC2=C(C=C1)[N+]1=C(N2)C(=O)C2=[N+]([Zn]1)C1=C(N2)C=C(C=C1)C(N)N|-1.8|-10|1.12e-02 g/l|3.92|7.97|b'Bis(5-Amidino-Benzimidazolyl)Methanone Zinc'|small molecule|0|1|0|0|0|0|BE0001739|PRSS1|protein|0|0
DB03444|6-bromoindirubin-3'-oxime|667463-62-9|O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=CC(Br)=CC=C12|2.99|2.56|3.41e-02 g/l|6.89|0.96|b""6-bromoindirubin-3'-oxime""|small molecule|0|1|0|0|0|0|BE0001065|GSK3B|protein|0|0
DB03447|Uridylyl-2'-5'-phospho-adenosine||NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)O[C@@H]4[C@H](O)[C@@H](CO)O[C@H]4N4C=CC(=O)NC4=O)[C@@H](O)[C@H]3O)C2=NC=N1|-1.5|-5.8|3.49e+00 g/l|1.82|3.94|b""Uridylyl-2'-5'-phospho-adenosine""|small molecule|0|1|0|0|0|0|BE0003317|RNASE1|protein|0|0
DB03448|2'-Deoxyuridine 3'-Monophosphate||OC[C@H]1O[C@H](C[C@@H]1OP(O)(O)=O)N1C=CC(=O)NC1=O|-1.6|-1.6|8.41e+00 g/l|1.09|-3|b""2'-Deoxyuridine 3'-Monophosphate""|small molecule|0|1|0|0|0|0|BE0001924 ; BE0003317|RNASE4 ; RNASE1|protein ; protein|0 ; 0|0 ; 0
